HUISNR,PC
54191,3008JD
59181,3008PD
5,3196KC
5,3196KC
59181,3008PD
581,3190AM
581,3190AM
59142,3008PC
4,3045PV
9,2992SP
16,2994LD
250,3200AG
204,3197KV
178,3335DE
41,3194AA
205,3027HV
81,3197LG
16,3088HC
1030,3160AE
109,3081BJ
6038,4780LA
83,3072AP
116,3063GD
180,3012KN
2,4791RN
863,3000AW
32,3832RC
27,3252LA
16,3161ED
7567,1118ZH
23387,3001KJ
3,3208LA
291,3328SV
59026,3008PA
66,3161EW
108,2900AC
149,3000AC
2,2676LL
2,3281NB
5,3016CK
51,2907AX
28,4780AA
8,4906CW
17,4906CX
37,3194DH
3,3208LA
81,3197LG
3402,3205EK
2,4791RN
2,3281LS
42,3016BC
80,2652XL
23,2676LM
23,2676LM
132,3190AC
123,2151GP
59069,3008PB
25,3133ES
27,3088EC
1017,6546BB
53,4033KD
1063,2410CB
29051,3001GB
45,3200AA
84,3084CB
5,2651BC
23231,3001KE
5,3161GR
100,3190AC
100,3190AC
100,3190AC
19,2242HK
27,3223HB
301,3222KE
63,3088GB
97,3244AM
24,3079DB
85,1119PA
59182,3008PD
12,3089KC
149,3000AC
4249,3006AE
47,2906SC
27,1175RK
130,3012NC
1159,3000BD
213,3062CE
526,1023BX
1575,3000BN
17,2984BE
14,3011KA
24,2901JV
19,3336LH
5,2992LA
33,3131KZ
14,3208KB
24,3055LE
59,3204BP
2,2994LD
175,3190AD
29072,3001GB
7,3051BP
1159,3000BD
1098,4801BB
18,2992LA
279,2497ND
1,3161GM
15,3223WE
107,3088GC
6,9563TV
190,2988DC
700,3083AS
972,3160AD
483,2130AL
23,3352XE
14,3054CH
1050,3160AG
28,3077ZE
385,3190AH
54500,3008KA
149,3000AC
149,3000AC
100,3062MB
19,6930AA
4,2984BG
1098,4801BB
16,3261LX
5322,3008AH
1,4761VD
59063,3008PB
54142,3008JC
31,3165AA
2,3165AL
1,3161GM
221,2130AE
62,3341LJ
75817,1118ZZ
264,3201WP
59063,3008PB
59063,3008PB
59063,3008PB
59063,3008PB
59063,3008PB
23407,3001KK
4,2760AA
61,7991RT
11,4611TS
49,4782PM
25,3223TL
151,3194DC
59001,3008PA
11,3088HG
11365,3004EJ
7385,3000HJ
35,3089KM
53,3196KH
7,3196KC
7,3196KC
53,3196KH
3,3208KP
4,3281TW
23424,3001KK
41,3194AA
57,3077AS
125,3240AC
350,1940AJ
8025,1005AA
129,2905TZ
809,3160AA
59,2821LA
111,3063GD
9230,3007AE
1049,3160AE
7,3072DE
240,1101EE
53012,3008HA
3,3233KK
10,2984AT
20,3068MV
24,3133LA
809,3160AA
3,2871RP
59191,1040KD
3,4761RL
106,3340AC
124,2974VH
90,2909LC
3,3116HB
5322,3008AH
5322,3008AH
350,3331MC
43,3088GB
699,1017JV
7,3087AB
26,3053JV
11278,3004EG
27,3355BH
10,2921LA
55,3088HE
7,3051BP
12,1119NR
59222,3008PE
10,3151HS
18,3125BC
171,3065AC
1050,3160AG
206,3197KV
11,4921ZA
7385,3000HJ
7400,3000HK
9,3115JD
24,3291CK
41,3088GB
10,5581CZ
66,2991VD
12091,3004GB
497,4389PA
63,2992CR
149,3000AC
6,3244LC
61,2991LJ
1165,3330CD
56,2651AV
21,3316BB
58,4930AB
25,3223TL
45,2990AA
7,2952AP
151,3194DC
6467,4836LH
1,1118EC
16,3165AL
149,3000AC
886,3160AB
85213,3009ME
28,3341GK
78,3135NS
16,3011TA
83,3316AK
3,4202MS
11,2922EN
28,3208KH
64,2741EZ
7,3114HB
7,3051BP
875,3199LD
33,4389PC
182,1000AD
5696,3008AR
55270,3008EG
162,3045PD
162,3045PD
629,3300AP
205,2950AE
5322,3008AH
245,3340AE
12075,3004GB
158,2517KP
12,3233BZ
192,5928RH
150,3100AD
182,3331ML
93308,2509AH
46,3047AC
184,3197KV
1314,3180AH
262,3021HR
24,6222NE
41,3088GB
4104,5692DC
1,4791PB
115,2909LE
199,3161PG
7404,3280AE
244,3190AE
1575,3000BN
1575,3000BN
34,3054EL
41,3194AA
244,3190AE
3000,4200EA
1015,3160AE
77,3087BM
45,2982CH
44,3197KJ
1575,3000BN
581,3190AM
15,3089JA
33,3131KZ
2,3194DE
17,3117VB
1,1118EC
1,1118EC
56,3237AX
12,3011BL
3000,4200EA
43,3089JD
73,2907LH
24,3088HE
9,1118EE
7,3115JC
61,3088GB
71,3311JG
15,2902BR
57,3088GB
6,4791AA
149,3000AC
42,3201AB
96,2991CN
83,3087BM
1575,3000BN
149,3000AC
41,3014AK
183,3197KA
14,3011KA
110,3331MA
28,2992ZX
10,3195KN
8,3067BW
17,3114SW
106,3194DG
59087,3008PB
71,5342LW
30,3199LB
20,2993LE
9,3115JD
1,3165AA
538,2903HK
509,3233ZK
1,3248LK
14,3011KA
809,3160AA
12,3067PR
9,3053JV
25,3335DB
323,2990AH
19,2408CW
12,3113AR
84,3065SN
53,1505HJ
466,3331LK
21,3088EA
5,2907ZA
10,2652LE
17,2951SX
76,3299AH
2,3352XG
362,3000AJ
150,3012KM
48,2651AV
5,4791VC
41,5465PX
31,4765BH
294,2990AG
36,3059TA
11,2952AV
84182,3009CD
114,2665ZJ
1159,3000BD
11,2991LG
1,3224HA
3,3208KP
300,1438AN
1,3233LM
26040,3002EA
12,4762AE
100,3145SZ
75588,1118ZP
207,4794AK
27,2982BA
32,3089JA
42,3111PH
5,3196KC
14,3011KA
33,3165AA
123,3083ZH
1,3161GM
20,2993LE
24,3133LA
81,3087BM
19,3069KW
9,3223PP
100,3190AC
37,3233XK
30,3336LE
35,3342GE
6475,4836LH
19,6930AA
32,3162XH
8,2825AB
550,3000AN
1,2831XM
1,3316AX
73,3162TM
7185,3000HD
7403,3284ZG
44,3011XS
55640,3008DC
1575,3000BN
1575,3000BN
23436,3001KK
2,3165AL
2,3194AP
35,2665VK
1,1437EP
12,3088HH
2,1118LK
4143,2980GC
4143,2980GC
30,3355ES
1255,3350CG
59,4797HJ
1159,3000BD
153,1438AX
458,2990AL
4,3257AG
29,5236SJ
3,3133EB
22,3218BJ
81,3023JA
97,3012KG
61,3000AB
22,3044AW
87,3133AV
110,3331MA
15,2991LE
2,4328PN
80,2901RD
15,2902BR
2,3352XG
24,4903RC
4,2802AN
24,2841EB
68,2994LD
29072,3001GB
16,3194JX
4170,3006AD
52,2987VE
668,3195ZH
8048,3301CA
3008,2980DA
29,2132MT
16,2987VD
75,3079WC
9634,3007AP
2,3161WD
20,3271VJ
59041,3008PA
39,3130AA
37,3088GA
37002,3005LA
490,2900AL
199,3054AE
13,2771VN
23,3315TX
4,3342GR
53,3196KH
248,3067VC
87,3133AV
31,3115HA
9,2991LG
59146,3008PC
66,2991VD
8186,3009AD
24,3363KH
61,3088GB
88,2991CN
109,3341LW
2,4791RN
2,3291LT
366,2983GR
13,3274KK
11,2911BL
33,3335LR
626,3195ZG
14,3295PG
70,3084CC
70,3084CC
83,3316AK
6,3161ED
16,3371RM
66,3124VC
240,3197KV
1,3044AK
133,3059XA
109,3341LW
3,3732HX
88,1118LB
11,3088HG
12,2994LD
73,3314TE
53012,3008HA
268,3311HK
24210,3007DE
12,3062RH
150,3300AD
59047,3008PA
15,3281HA
12,4871NV
1,4791PB
72,2992SR
1159,3000BD
1159,3000BD
199,3054AE
142,2950AC
8,3059RP
398,3340AJ
19,3371XA
1,2802AC
22,4424NC
16,3162RB
150,3331MA
2,2969CC
102,3233AH
22,3465KE
68,2804NV
12,3088HH
41,3194AA
43,3055PB
27,3252LA
8542,3009AM
359,3125BJ
39,3088GB
13,3088GN
101,3330AC
95,3132GM
15,2902BR
84,2678HA
12,3088HH
15,1118LA
15,2908LT
63,3044CJ
439,3340AK
1,3161GM
3,4652GE
7,3195ND
58,3284KT
23,3011SK
10,2964LE
234,3330AE
12,2994LA
307,3340AH
15,3087BG
39,3130AA
412,3353SG
1159,3000BD
1159,3000BD
13,3255AP
1,2935WV
18,3171PJ
72,2992SR
26,3297LC
59069,3008PB
21,8071JG
37,3248BA
34,3371HJ
45,3088HE
101,3181XK
28,3208KJ
3,4941TA
136,3354VD
11,3361CG
2,2991EM
41,3088GB
39,3088GB
37,3089KA
48,3241DC
3230,5902RE
46,3016BC
28,3291CE
768,3170AB
29,3194AR
149,3271KB
35,2904SE
33,3034BB
11222,3004EE
116,3063GD
72,3084CC
57,3088GB
24,3088HE
1,3252AH
228,2986VR
466,3331LK
466,3331LK
18,3328DA
119,3341LW
54562,3008KB
49,3161LV
61,3031BB
2,4791RN
199,3161PG
199,3161PG
50,1119PE
50,1119PE
252,2950AG
2,3261KN
39,3088GB
21,3342GT
12,3233LK
401,3364DK
11,2351CL
466,3331LK
27,3072HV
20,5253CA
613,3065SC
30089,3001DB
10,3261SX
466,3331LK
1512,1430BM
8,3232HE
3,3255NB
48,3207RC
2,3088HH
1,3087AM
12,3113AR
95,2901TA
57608,3008BP
12,3194WN
595,2741PT
29,3262AA
170,3220AD
26,1339CA
190,3197KV
17,2901EP
14,2990AA
91,3081NG
269,3190AG
830,3032AL
12,4871NV
12,4871NV
466,3331LK
16,3115HB
24,2984AG
39,3130AA
41,3194AA
54022,3008JA
167,3316GZ
38,2914BN
27,2986BG
138,3353GW
559,2287AJ
3,2583CL
57,3134ZB
85680,2508CJ
38,2583DK
10,2267BE
90,2525NE
3,2583CL
43,2548JE
20,3134KL
2,2514HP
72,2525EL
52,2153PL
41,3194AA
50,2595AR
6,8331VA
27,2723AK
37,2242VR
9,2492LX
416,2501CK
25,2242RD
71,2583JV
5,4709RM
15,2291PA
6,2627BP
86,3481HG
57,2625NV
24,2492LN
14,3077AL
17,3151ZJ
520,2675ZT
117,2675ZJ
40,3071NB
20,2641KC
19,2728GC
80,3029AK
38,8311PP
7009,6801HA
2,9200AA
4,2641ST
7776,1118ZM
20,3088GN
6038,4780LA
136,2678ZJ
13,2641KP
19,2988AT
6038,4780LA
7142,2701AC
151,3198LS
11,1115GW
196,3140AD
5,2295NN
20,3197LE
6,2622JZ
208,2665ZL
85,3089JD
1,5256PK
22,2719JX
20,3197LE
30,2516BD
484,1060TT
51,3155GL
31,2641KS
131,2712XK
37,2574KC
45,2665KN
3008,2700KS
18,2548SH
18,2631WL
60,2718SG
105,2651LG
11,2266NA
20,2641KC
1,2908LH
49,2651KR
101,2909LE
14,2545WE
12,2406XL
14,2522EP
7,2493ZV
23,1019RL
252,2526VL
434,2525WV
12,3113AR
12,3113AR
11,2266NA
11,2266NA
4,2241WJ
83,2497NB
5,3237MB
76,2627AN
9,2722NH
252,2676LV
16,2493WB
35008,3005DA
10,2665KN
175,2670AD
9,2671ZN
9,2492WE
4,3045PV
46,2282XV
71,2676LS
176,2665KH
65,2718RD
221,2511BP
132,2583DX
35,2678BA
246,2300AE
44,2671AS
24,2675WX
7,2295RH
69,2210AB
11,2671HW
9,2404CB
7,2691AX
26,3085KA
39,2496XW
163,2665ZK
263,2400AG
8,2161LE
948,2136NH
77,3087BM
44,2291RL
305,1118BJ
135,3047AT
5,2722PX
18,2405CK
14,2512PA
8,2691NL
32,2692CM
211,1013AP
160,2593VP
13,2231MJ
9,3155CA
5,2651KN
431,2676LV
1063,1430BB
207,2160AE
10,2678PS
3,1118EC
1,2525KC
108,2712XP
393,2571PN
105,2273GR
63,5047SE
3,5925BN
61619,2506AP
30,2678PT
4,2275CH
24,2321GK
2,2716BX
12,2390AA
3,2731BR
46,2170AA
23,2382NS
4,2353KN
1016,2340BA
7,2181AK
5,2421LR
45,2180AA
30,2182BM
3138,2220CC
354,2400AJ
51,2451BB
4,2181HA
1,6628KB
28,2481AE
4,2311VW
210,2180AE
45,2420AA
274,2200AG
58351,1040HJ
68,2404HN
95,2450AB
21,2311PK
354,2400AJ
274,2200AG
432,5500AK
35,2381LR
207,2160AE
2,2222AV
31,2251TN
204,3200AE
354,2400AJ
10,2171TW
700,3083AS
15,2221WC
32,2403EX
179,2170AD
132,1111RN
10,1187ZZ
274,2200AG
5,2382EJ
5,2382EJ
72,2401MZ
68,2352XN
32,2315SR
2193,2400CD
14,2771CE
40,2406KT
7,3565CK
13,2742RB
63,2211WH
274,2200AG
2,2461EM
224,2250AE
4,2411NH
15,2396ZG
10,2411PR
138,2353DW
2,4814DB
117,2371BT
3,2771AE
3,2408ZC
38,2408AN
6,2315SR
77,3087BM
63,2211WH
10,2731BR
30,2771DA
321,2270AH
30,1118LD
98,2371DH
254,3011XZ
11,2182DV
109,2160AC
9,2405CC
91526,2509EC
31,1118EE
12,2235DK
42,2201GN
121,2861AN
2,2820AA
7,2770AA
73,2941AS
2523,2940AA
22,4175ZG
2,2820AA
2,2820AA
389,2740AJ
595,2741PT
14,2913LP
22,2742LC
1,2802AE
194,2665LE
232,3067GJ
91,2860AB
6,2914KK
109,1520AC
11,3165AA
220,2910AE
27,2931LC
14,2771CE
91,2860AB
15,1687ZG
85181,3009MD
5,2964LE
11,2742RB
37,3088EC
45,2931LC
16,3545NJ
23,3738EV
18,3991BR
5,3401MX
14,3417XS
79,3602AJ
7,4940AA
45,3417ZG
273,2740AG
47,3474HS
4,3903LJ
66,3434KW
45,3417ZG
1,3439MX
193,3921AE
44,3620AA
23,4704RG
1,3821BR
2,7554TS
413,5600AK
25,1047HG
42,3903WH
19,3905NA
95,3411EG
53,6661KC
1,3528BA
12,3901HA
142,5060AC
91,3543AC
9,3961TJ
36,1396JM
40226,3504AA
9696,1006GD
8449,3503RK
24,3620AA
36,3411JG
10,8263CB
22,3641SB
76,3433DJ
98,3981AS
81,3958CB
4,3446CC
10000,3505AA
626,8440AP
2,6131AS
61,6412AA
27,6221BT
5,6512AA
8,6041GN
2,6131AS
1,5913AA
12,3901HA
11,8271RA
8,3454TT
30,3403NJ
213,1118AV
35,3906BA
8,3821BR
9,3734GG
31,7963RS
5,3634AA
90,3401NZ
224,3523VR
15,3904HG
26,6581WZ
57,3525VN
7,8211AA
411,3440AK
4,3602AE
11,3602AG
107,3640AC
20,4050EA
10,3738DE
19,3411AX
8,3903CP
543,3000AM
7584,1118ZH
40116,6504AC
2,3437VA
45,1391SL
224,3400AE
86,5480AB
12,3439LC
2,3411WS
19,6921RE
66,3632WJ
12,3953BR
14,3461EA
35,3454CL
21,3410CA
6,3411CD
50,3911VE
73,3411AR
25,4122GJ
48,3825EM
21,7587RM
17,4131NR
32,3832RC
51,4817BL
51,4817BL
51,4817BL
51,4817BL
4,3751LS
43,3971MB
131,3513AD
76,3981VC
38,3011BM
16,3648NM
2,3446BM
25,3053JD
6,9930AA
6,9930AA
224,3905LT
1625,3600BP
5,3442AG
5,3417EV
71,3526KT
369,3405CM
12,3903AZ
159,3970AD
98,3527KR
14,3905TG
40116,6504AC
179,1101CN
86,5480AB
20,6199AB
5,3832KP
19,4561BE
58,3451ZC
20,4124BC
8,3993DV
4,5951DL
111,3454EK
46,3454CR
22,3738CR
23,1118LA
63,3044CJ
12,3439LC
66,3972TC
2,4143HM
122,3405BG
2,5317JX
33,3446ZW
21,4126RT
1,3402AS
28,4023AB
54,3971AC
24,3297VA
255,3523PH
7,5321HH
33,3534AM
20,4050EA
18,3515XL
33,4004LK
63,3947MB
7,3433PH
4,4126RC
20,3421TV
4,3621NS
5,6629AM
111,6657AR
75,4041EA
85,6658BC
34,3992LS
11,3704HA
51,3972RK
29,3903KE
3,3481LK
80,3931MT
5,4004JM
44,3927GG
51,2723RB
1,6612AE
54,3752HC
9300,6800SB
164,3791PM
700,3083AS
19,1394AS
10,1394ZG
41,1272ER
17,1216BC
12,1243HV
29,7325WZ
68,1380AB
24,3762EC
16,8102CC
42,3454PE
117,3800AC
9,3927GG
76,6545AG
47,6716BZ
2,3927CN
30,3741WD
100,3765ES
9,3821BN
10,3897AC
22,1251LL
47,6716BZ
38,3755BB
23,1394AS
23,1394AS
62,3899AW
21,3927GG
124,1071PL
9,5916PJ
23,1401GC
24,3762EC
34,1412GP
1,6211GZ
163,1223JE
62,3743KM
11,2722NA
25,1394AC
2677,3800GE
34,1276AC
20,3862JG
36,1101AH
1,4131PD
8,3925RJ
116,3953MJ
42,3823GA
2,4751XK
177,1400AD
14,3755BS
47,6716BZ
5,3743BK
27,3861RJ
2908,3800GK
37,1250AA
72,1338CC
33,3454PJ
14,8231KD
24,1338TK
1,8255JG
1,8255JG
30,3861LH
64,1213XE
13,3812GZ
39,8243PG
10,1047BJ
184,1506EK
10,1047BJ
58417,1040HK
12183,1100AD
183,2106MH
4,1042AS
124,1078EN
59345,1040KH
409,1000AK
409,1000AK
5,1047HN
1030,3160AE
58417,1040HK
10,1044AB
58417,1040HK
7614,1118ZJ
1341,3260AH
20616,1001NP
12,3165AD
22,1013BL
35,1047BP
243,1118AV
2,3261KN
115,8254KB
1,1046AW
9078,1180MB
3,1047BE
7,1083HJ
64,2121VK
67,1500EB
12,1079WC
80,1047HM
19,1031CD
20,2661CP
5,1101EZ
18,1111VL
4,1042AB
100,1047HM
52,2987VE
54142,3008JC
18,1432JH
8581,1005AN
207,1213TR
16313,2500BH
5045,3008AA
10,1044AB
2,4814DB
28,1191AC
28,1191AC
110,1112AP
261,1024KM
23393,1100DW
28,1191AC
1,3161GR
11,1424LD
32,5222AL
48,1013BM
8,3016DE
526,1023BX
116,1051LJ
1,6598MH
21,5928SJ
37,1119NG
409,1000AK
409,1000AK
13000,1100KG
444,1017BZ
80,1047HM
17,1046AR
80,1047HM
4,1059VM
110,1118AS
2,5928LH
36,1042AA
803,3160AA
12,7207GL
112,1066ML
249,1432CM
1,1118EC
50,3194AB
124,1011AB
4,1045AL
95,1112AW
8,4131NJ
2599,1000CN
2,8411WK
71389,1008BJ
1431,1077XX
371,1508WN
105,1042BB
570,3100AN
524,3190AL
42,1420AA
14,4184EW
333,1077XX
1,1383HT
445,1620AK
28,1191AC
36,1042AA
1,1042AA
50131,1305AC
4,1042AS
169,2400AD
3435,5902RK
125,1056RC
1431,1077XX
44,1942AR
21,1014BA
553,1023BS
168,1013HB
99456,6920ND
99456,6920ND
99456,6920ND
99456,6920ND
99456,6920ND
87,1541AN
46,1505HH
30,5341GM
271,1432KB
63,3088GB
75767,1118ZX
19,1033SN
13,1054AH
12160,1100AD
504,1970AM
1,1972LV
1,1118DT
233,1940AE
31,1013BE
7503,1118ZG
13,1175RB
126,1077XV
24,4501BD
59,1940AB
39,1975AG
6,5657ES
32,6199AD
17,1437EK
42,5048AZ
495,3016DR
17,1437EK
7628,1118ZJ
25,
7545,1118ZG
2,1118DS
35,1942ES
66,4880AB
71,1119MD
100,1781AR
1,1118EA
59180,3008PD
7652,1118ZK
75569,1118ZP
202,1118LN
327,1171VC
909,1780AX
2,1118EB
75585,1118ZP
7784,1118ZM
1,4782SM
12031,3004GA
42,1118LB
121,2150AC
400,1940AK
59,1940AB
36,2156LE
1148,1430BC
202,1118LN
42,1118LM
6,2131GK
59071,3008PB
7567,1118ZH
2,8171MB
118,9207JD
12022,3004GA
142,2230AC
1,1118CL
26,1117BC
47,1118DT
7547,1118ZG
337,7524PT
5,5684PB
20,5913AE
38,2150AA
103,2406BE
18,6199AB
127,3300AC
63,9765ZH
75533,1118ZN
2750,5657DZ
27,3088EA
44,1118LM
7636,1118ZJ
54505,3008KA
7644,1117ZJ
9,7270AA
42,1012DP
7589,1118ZH
17,8932HL
6,5234GM
31,1118EE
20704,1001NS
7652,1118ZK
31,2133JN
75653,1118ZS
22,2984BT
8,1119ME
2,1118DS
16,1047HP
237,2980AE
75622,1118ZR
20,1483GB
9088,3007AB
53,2645BS
8,2111TB
7,5928PE
101,1118DP
13000,1100KG
27,6191NC
4,9301ZS
32,7327AC
18,3542AV
78,1118LB
59063,3008PB
43,2101JB
1,2153PL
1,2153PL
79,1171GJ
38,1118LD
17,1171WN
303,1171VC
8,4131NJ
11,1119NT
25,1118DT
17,1948ND
219,1438BG
11,3195ND
54113,3008JC
54113,3008JC
250,1101BV
1,1118EC
235,2135JZ
524,2150AM
2,2134XN
75036,1117ZN
10,1681NN
34,2211JT
3,1971KM
75625,1118ZR
272,2990AG
1,1437EL
23,1911MP
7,1948AB
1,1851EE
66,4380AB
54261,3008JG
3,1951NK
4,1976CB
5,3199LS
250,3088GD
4,1118DS
469,2685DE
90,6199AD
11,6045GX
57,5657EA
292,5050AG
3,6075NL
6,6045JL
75115,1117ZR
292,5050AG
9,5928LH
22,5928LE
48,5928SC
28,5928LE
1,6045GW
26,5928LE
5,6075NL
12,1118LB
34,1118LM
1,1566AW
7776,1118ZM
273,1435CJ
1,1118CL
46,1118CL
96,5750AB
87,1161BW
35,6191SB
1,1175RB
685,1435BZ
34,2041CZ
524,2150AM
8,1118EE
346,1970AH
34,1262AC
251,1940AG
50,9521AT
35,2191AC
7,1119NN
42,1121MB
622,2675ZW
7776,1118ZM
7776,1118ZM
155,2033WK
108,2130AC
12,5657EN
2,1976BS
27,1118CB
19,1433NC
766,2132NM
75166,1117ZS
544,3190AL
213,1119PD
4,4782PP
31,2131HB
210,2180AE
16,1976AC
100,1047HM
322,1430AH
9,1438BA
9,1438BA
524,2150AM
5322,3008AH
7535,1117ZG
2,6902KG
57,2391AB
34,1943DE
368,5000AJ
585,2132NA
20,2132MR
17,2161LE
18,2992LA
152,3522JB
80,1047HM
58,1402NV
8215,1005AE
10,1044AE
91,1435CH
173,1940AD
19,2675AM
248,2132BH
31,1541GH
83,3087BM
15,1019BT
41,1069CD
21,1118CB
11,2311GN
575,4600AN
79,1213TM
2,3905NN
27,1019BR
15,1014AR
17,1432JH
38,1118LD
9,1391JP
460,1072MG
4,1181VX
426,1940AK
30,5271RS
73,1462HD
105,1119PA
38,1118LD
6,8771KE
17,1118DT
2,2131HG
1216,1430BE
7618,1118ZJ
56,1061WB
7776,1118ZM
61,1067JB
12,2132VZ
80,1047HM
40,6681LN
2650,1967DD
7,2153GB
2135,2002CC
130,1057BH
42,1326MB
40,1103GH
3116,2130KC
152,1438AX
107,1111GM
24,1187VX
709,1115TT
2253,1000CG
89,4630AB
35,3197KM
2,1437EL
50,3194AG
164,9541LE
10,1044AB
9691,2003LR
212,1975BJ
204,1186RL
24,1121DJ
2,1047HS
96,2135VA
409,1000AK
14,1046AG
31,1043BK
52,1721AL
2227,1500GE
20547,1001NM
2,1047BJ
14,1047BE
152,1438AX
20,1948AP
152,1438AX
1,4927RL
63,1119MD
120,1043EJ
37,1014BA
9,1566JN
53130,3008HC
1,5321JA
101,7322BC
1,2153NB
17,1432JH
26,2132MS
333,1077XX
333,1077XX
333,1077XX
333,1077XX
333,1077XX
29,1094EA
61,2132PX
75572,1118ZP
36,1521PS
1323,1430BH
12,9747AN
33,5651GK
1042,1430BA
24,3088KA
300,1438AN
87,1121JA
1,3161GR
56,1118LB
1,3161GR
608,1437EJ
2,1118DX
1,1118EC
68,1060RT
1,2152CS
31,2131HB
20641,1001NP
11063,1001GB
23393,1100DW
23393,1100DW
16,1562AX
16,1562AX
46,1505HH
50,1118LE
893,3000AW
75614,1118ZR
901,1077XX
4,2132RX
30,1118LD
193,1077AW
1,3417XT
665,1181WN
25,1118DT
57,2105MD
30,1441RG
6,1046AT
92,1433JV
12,3526XS
12632,1100AP
15,1118DN
62,9731DN
60,2211TE
38,1521PS
13,1181LE
42,1121HR
70,1096AH
151,1951MB
13,1181LE
10,1733AC
41,2042TR
979,2136LL
24,1433AS
351,1432EA
48,9365PE
1136,1103JV
62,3021BP
351,1053EX
3,2132ME
106,1325EN
45,1118EE
3,2132ME
18,1472GA
152,1117BG
109,1042BB
4,2153PD
1201,1077XX
27,1431JD
15,1081AD
22,1606MN
33,3115JB
33,3115JB
1168,3840BD
216,2130AE
155,2132MX
13,1181LE
148,1111LL
42,1121HR
37,6075NL
80,1118LB
55,1456NG
10,1437EN
39,1973PA
55,1118EG
29,1161AC
681,2130AR
158,1117BG
2501,3170BA
7,4191PD
75685,1118ZS
1,1118EC
226,1025SW
32,1171DP
6,1817MJ
213,1119PD
35,6199AM
362,2082VR
47,6105AR
121,3114GC
111,3047AT
48,2132MR
48,1014AN
57,1082SW
197,2152KL
1,2153NB
61,6811HC
5,1101EZ
188,2150AD
173,1940AD
54143,3008JC
41,1119NW
31,1118EE
871,2143CC
196,2131GP
18,1107PZ
46,1105AL
2,2132MR
255,1435CJ
149,1431VL
26,1118LB
110,1119PP
21,1014BA
300,1438AN
37002,3005LA
30,1948PV
30,1948PV
51,2135GT
14,1033NW
20,2025ZJ
426,1186NJ
23393,1100DW
5,2153PH
17,1187KT
13,1181LE
4,1976BR
16,1521RC
24,1945ZL
37,3207DC
139,1165MK
11,2132MT
22,1606MN
22,1606MN
66,4380AB
292,1940AG
7,9871PA
3,1951NK
37,2141XJ
94,1423CN
13,1054PP
16,1078RK
80,1047HM
21,2132JH
46,1181WB
43,1107BW
43,1107BW
335,1963AZ
75625,1118ZR
22,1948RM
2,1119NL
19,3089JH
1,1044AM
30,1504NB
1,1696AJ
148,1970AC
40,1991HK
1,1119NN
15,2435NS
203,2152KL
79,1944NK
12,2151RE
14,2132KZ
266,1102CN
10,2595AA
1,1437EP
10,1525RB
175,1175KV
103,1064HM
46,1316AJ
168,1217SZ
431,1108CL
1,1046AH
19,1069KB
150,1970AD
150,1970AD
19,1187ZM
211,1118BH
115,1183EK
43,1187SG
362,2082VR
146,1051AM
27,1500EA
2,1540AA
8,1505HK
4,3196KG
34,3439JJ
17,1521NC
26,2982CM
61,1960AB
56,1521RG
49,1911AG
116,1628WE
67,1645TB
23,1041AB
83,1689AD
6,1135RD
5,1627LB
5,1131KB
8803,1006JA
150,1704VX
41,1608EL
18,1687WG
27,1135KX
156,1014ZP
51,1688CL
23,1827AP
5,1447NB
3,1760AA
46,1704SB
8,4906CW
74,1862KN
63140,3002JC
4,1861TM
47,1843JL
2,1731LX
909,1780AX
6,1779CK
16,1851PX
5,1862EC
22,1827RK
70,1747HE
38,1483EB
17,3232CK
446,1800AK
10,1786PP
5,1786PD
13,9979XW
19,1976EC
22,1781AC
150,1800AD
15,1731LN
339,1647MT
153,1676GK
22,1747SG
16,1720AA
48,7555GT
112,1130AC
117,1749XM
2,1633GR
590,1780AN
66,1822BZ
75588,1118ZP
20,1047BM
1005,1810KA
3,1786PB
111,3840AC
75588,1118ZP
35,1102SR
22,1654JK
1,3165AA
12,1119NR
7,1689AH
3053,1620GB
28,1679WE
304,1764ZG
29,1901PM
168,1811CP
5,1633JA
3,1463HA
32,1616AK
47,1613EP
23,1814GS
89,1602CB
38,1118LD
13,1628XJ
9,1616GR
24,1906HD
12,1446TA
30,1732LE
33,1689AK
12,1446TA
97,1689WH
100,1047HM
12,1723AL
15,1687ZG
1,4004LV
14,4191NZ
23,1715HH
30,1704XC
4,1721JA
263,1792CJ
2,1827NH
5,8102PD
62,7450AB
5,7418EL
89,8100AB
63,8131PD
26,3861PG
14,3899BK
28,3849RN
29,3849RL
7,8211AA
7,4903RJ
58,3198LE
52,2680AB
16,1352CB
537,1437EG
63,8071CL
1,1437EP
142,4700AC
14,4706PK
336,8200AH
26,3890AA
56,1352BG
58,1318BW
146,7602KE
2533,2940AA
94,1131ET
17,7944CE
7,4021CL
35,1332BJ
154,3890AD
81,8243XZ
17,8320AA
18,3892AG
50,1322AS
14,3891ED
117,1338JS
20,3176PD
15,8322CV
16,8322EK
48,1119NZ
10,4906CG
2,3199LR
9,4104AC
1288,3890BB
1288,3890BB
1288,3890BB
7,3195ND
4,8255RJ
10,8251NL
69,1335EZ
321,8239DC
43,7601PH
59,6865ZH
5700,3008AS
2,3831DT
4,1185JD
40,1326TS
31006,6503CA
50,2967GC
2,4703RE
45,3200AA
45,3024BK
5,5861EH
23,1902SK
367,1970AJ
4,4416PK
20,2993LD
352,2273RL
40,3335LR
71,1607CW
69,7451SL
20,5928LC
264,3331ML
75119,1117ZR
38,1118LD
300,1438AN
41,3088GB
