DOSSIER,VGNUMMER,HN45,PCVA,STRAAT_VA,HUISNR_VA,TOEV_VA,PC_VA,PLAATS_VA,RV,URL,inOnderzoek,gebruiksdoel,oppervlakte,vbloStatus,C_HOOFDACT,NEVEN1,NEVEN2,reg_date,emp_class,inNiwo,inFenex
24165819,000018220703,Isma B.V.,2908LH,Lylantse Plein,1,,2908LH,Capelle aan den IJssel,41,www.isma.nl,0.0,kantoorfunctie,5111.0,in gebruik,H,,,,3,0,0
24165934,000016483421,Dutch Freight Services B.V.,3194AA,Hoefsmidstraat,41,,3194AA,Hoogvliet Rotterdam,41,,0.0,industriefunctie,10263.0,in gebruik,H,K,,1987-07-31,4,0,0
24166933,000015911594,Combined Container Barging B.V.,4782PM,Middenweg,35,,4782PM,Moerdijk,41,,0.0,kantoorfunctie,24860.0,in gebruik,H,,,2018-06-18,4,0,0
24167117,000017299454,Trans-Saar B.V.,3331MA,Scheepmakerij,148,,3331MA,Zwijndrecht,41,www.transsaar.nl,0.0,kantoorfunctie,107.0,in gebruik,H,,,1987-11-18,4,0,0
24167147,000016511115,Nile Dutch Africa Line B.V.,3012KG,Westblaak,95,,3012KG,Rotterdam,41,www.niledutch.com,0.0,kantoorfunctie,560.0,in gebruik,H,H,,1987-11-19,6,0,0
24167287,000009540393,Eumans Trading Company B.V.,3081JN,Pleinweg,211,A,3081JN,Rotterdam,41,,0.0,woonfunctie,80.0,in gebruik,G,H,N,1987-02-12,3,0,0
24167452,000019868022,'V.C.H.' Vermaat Cargo Handling B.V.,3201LW,Hongerlandsedijk,268,,3201LW,Spijkenisse,41,,0.0,winkelfunctie,126.0,in gebruik,H,H,N,1987-12-15,4,0,0
24167719,000016831802,Anthony Veder Rederijzaken B.V.,3016BB,Parklaan,2,,3016BB,Rotterdam,41,,0.0,kantoorfunctie,2850.0,in gebruik,K,H,,1987-12-30,9,0,0
24168165,000020282699,B.G.T. Transport- en Expeditiebedrijf B.V.,3087AE,Sluisjesdijk,127,,3087AE,Rotterdam,41,,0.0,industriefunctie,319.0,in gebruik,H,H,,1988-01-26,5,0,0
24168324,000017596009,Vortex Forwarding B.V.,6541BW,Beurtvaartweg,2,,6541BW,Nijmegen,41,,0.0,industriefunctie,13755.0,in gebruik,H,,,2011-05-26,1,1,0
24168525,000017827124,Van de Water Hand.ondernem. en Servic. B.V.,3125BS,Algerastraat,9,,3125BS,Schiedam,41,www.vdwater.net,0.0,industriefunctie,517.0,in gebruik,G,H,,1988-02-15,3,0,0
24168570,000016807855,DHL Exel Supply Chain,5986PM,Zwenkgras,7,,5986PM,Beringe,41,,0.0,industriefunctie,26400.0,in gebruik,H,,,2008-01-04,12,1,0
24168570,000016807871,DHL Solutions,5986PM,Zwenkgras,3,,5986PM,Beringe,41,,0.0,industriefunctie,40356.0,in gebruik,H,,,2008-01-04,12,1,0
24168570,000016808118,DHL Supply Chain (Netherlands) B.V.,5628WB,Anderlechtstraat,15,,5628WB,Eindhoven,41,www.dhl.nl,0.0,kantoorfunctie,3918.0,in gebruik,H,,,2008-01-04,12,1,0
24168570,000016808614,DHL Supply Chain Eindhoven II,5651GG,Achtseweg Noord,32,-36,5651GG,Eindhoven,41,,,,,,H,H,,2008-01-04,12,1,0
24168570,000016808630,DHL Supply Chain Best,5684PB,Brem,5,,5684PB,Best,41,,0.0,kantoorfunctie,32747.0,in gebruik,H,H,H,2008-01-04,12,1,0
24168570,000033343187,DHL Supply Chain Bergen op Zoom II,4622RD,Marconilaan,20,,4622RD,Bergen op Zoom,41,,0.0,industriefunctie,89026.0,in gebruik,H,,,2008-01-04,12,1,0
24168570,000034597549,DHL Supply Chain Kampen,8263CG,Genuakade,8,,8263CG,Kampen,41,,0.0,industriefunctie,37341.0,in gebruik,H,H,H,2008-01-04,12,1,0
24168570,000035308036,DHL Supply Chain Zwolle,8013RC,Pascalweg,8,,8013RC,Zwolle,41,,0.0,kantoorfunctie,533.0,in gebruik,H,,,2008-01-04,12,1,0
24168570,000036762946,DHL Supply Chain Born,6121RE,Holtum-Noordweg,20,,6121RE,Born,41,,0.0,industriefunctie,42015.0,in gebruik,H,H,,2008-01-04,12,1,0
24168570,000037616544,DHL Supply Chain Oud Gastel,4751XK,Boekerman,1,d,4751XK,Oud Gastel,41,,0.0,industriefunctie,142.0,gevormd,H,,,2008-01-04,12,1,0
24168570,000037616552,DHL Supply Chain Nieuwegein,3433KN,Bolwerkdok,2,,3433KN,Nieuwegein,41,,0.0,industriefunctie,25831.0,in gebruik,H,,,2008-01-04,12,1,0
24168570,000038477548,DHL Supply Chain Nijmegen II,6604LV,Bijsterhuizen,3140,,6604LV,Wijchen,41,,0.0,kantoorfunctie,28978.0,in gebruik,H,,,2008-01-04,12,1,0
24168570,000042514010,DHL Supply Chain Nijmegen III,6604LV,Bijsterhuizen,3142,,6604LV,Wijchen,41,,0.0,kantoorfunctie,31730.0,in gebruik,H,,,2008-01-04,12,1,0
24168828,000019813139,DP World Germersheim B.V.,3088HE,Smirnoffweg,3,,3088HE,Rotterdam,41,www.dpworld.nl,0.0,kantoorfunctie,2021.0,in gebruik,H,,,1988-07-03,5,0,0
24168849,000015796167,Berkman Forwarding B.V.,2991LR,Tuindersweg,34,,2991LR,Barendrecht,41,www.berkmanforwarding.nl,0.0,onderwijsfunctie,367.0,in gebruik (niet ingemeten),H,,,1988-08-03,6,0,1
24169202,000006898319,Aries Vertaalservice Hellevoetsluis,3223PA,Uniceflaan,16,,3223PA,Hellevoetsluis,1,,0.0,woonfunctie,180.0,in gebruik,M,H,,1988-03-29,3,0,0
24169374,000017227275,Herfurth Logistics B.V.,3088HH,Waalhaven Z.z.,12,G,3088HH,Rotterdam,41,,,,,,H,H,K,1988-08-04,3,0,0
24169763,000018878121,Basamro-Transport B.V.,3161WE,Ravelstraat,5,,3161WE,Rhoon,41,,0.0,kantoorfunctie,651.0,in gebruik,H,,,1988-06-05,4,0,0
24169983,000018719260,Switch Customs Brokers B.V.,2992KB,Boerhaavelaan,5,,2992KB,Barendrecht,41,,0.0,industriefunctie,264.0,in gebruik,H,,,1988-05-26,2,0,0
24170187,000011661070,Ritra Cargo (Holland) B.V.,3088GB,Albert Plesmanweg,61,C,3088GB,Rotterdam,41,www.ritra.nl,0.0,industriefunctie,54.0,ingetrokken,H,,,1988-07-06,6,0,0
24170506,000016998936,B.V. Nabek Holding,2404BR,Eikenlaan,30,,2404BR,Alphen aan den Rijn,41,www.nabek.nl,0.0,industriefunctie,11233.0,in gebruik,H,K,,2018-07-08,3,0,0
24171481,000008421560,SME Suriname Shipping,3014ZS,Korte Bajonetstraat,56,,3014ZS,Rotterdam,11,www.smeshipping.nl,0.0,winkelfunctie,63.0,in gebruik,H,,,1988-12-09,3,0,0
24171890,000018876072,Damco,2511DP,Turfmarkt,107,,2511DP,'s-Gravenhage,41,,0.0,kantoorfunctie,8683.0,ingetrokken,H,,,2016-04-19,1,0,0
24172004,000012489107,Akfor Shipping & Distribution B.V.,2984CD,Wolweverstraat,28,,2984CD,Ridderkerk,41,,0.0,kantoorfunctie,365.0,in gebruik,H,,,1988-10-13,2,0,0
24172596,000016505840,Yamato Transport Europe B.V.,1119NS,Capronilaan,22,,1119NS,Schiphol-Rijk,41,www.yamatoeurope.com,0.0,industriefunctie,1075.0,in gebruik,H,H,,2010-09-12,6,0,0
24172596,000016505867,Yamato Transport Europe B.V.,2983GR,Ringdijk,372,,2983GR,Ridderkerk,41,www.yamatoeurope.com,0.0,kantoorfunctie,11886.0,in gebruik (niet ingemeten),H,,,2010-09-12,6,0,0
24173071,000020379811,Nic. Koot B.V.,3316BP,Jacobus Lipsweg,46,,3316BP,Dordrecht,41,,0.0,kantoorfunctie,2753.0,in gebruik,H,,,1988-12-23,5,0,0
24173617,000013102753,L. Pels Beheer B.V.,3055WV,Zagwijnlaan,17,,3055WV,Rotterdam,41,,0.0,woonfunctie,229.0,in gebruik,K,G,H,1989-01-20,2,0,0
24174512,000020140215,Myon Management B.V.,3341GX,Van der Lekstraat,2,,3341GX,Hendrik-Ido-Ambacht,41,,0.0,woonfunctie,149.0,in gebruik,H,,,1989-07-03,2,0,0
24174837,000004852478,Veldtrans-Oost-Dubbelman B.V.,3087BW,Voornsestraat,47,,3087BW,Rotterdam,41,www.vtod.nl,0.0,industriefunctie,68.0,in gebruik,H,,,1989-03-28,5,0,0
24174865,000018589251,Ship Road Rotterdam B.V.,3165AL,Marco Polostraat,2,,3165AL,Rotterdam-Albrandswaard,41,www.neele.nl,0.0,kantoorfunctie,1112.0,in gebruik,H,H,,1989-03-28,5,0,0
24175273,000017436982,Azalea Maritime Services B.V.,3261PX,Belcampohof,18,,3261PX,Oud-Beijerland,41,,0.0,woonfunctie,242.0,in gebruik (niet ingemeten),H,,,1989-04-18,1,0,0
24175350,000020396538,Fairmount Marine B.V.,3356LK,Rosmolenweg,20,,3356LK,Papendrecht,41,fairmount.nl,0.0,kantoorfunctie,6322.0,ingetrokken,H,H,,1989-04-21,7,0,0
24176585,000019495099,MSG Mainschiff.-Genossenschaft Rotterdam B.V.,3331ML,Maasboulevard,32,,3331ML,Zwijndrecht,41,www.msgeg.de,0.0,kantoorfunctie,80.0,in gebruik,H,,,1989-07-07,3,1,0
24176887,000020439679,Hintex Customs Agency B.V.,3088HH,Waalhaven Z.z.,12,,3088HH,Rotterdam,41,,,,,,H,,,1989-07-27,4,0,1
24176887,000022099204,Hintex Schiphol,1119PD,Boeingavenue,215,,1119PD,Schiphol-Rijk,41,,0.0,kantoorfunctie,582.0,in gebruik,H,,,1989-07-27,4,0,0
24177985,000008681430,Wijslift B.V.,9217RN,Kommisjewei,16,,9217RN,Nijega,41,,0.0,industriefunctie,771.0,in gebruik,G,H,H,2015-12-15,1,0,0
24178515,000017114225,South Africa Services Helvetica B.V.,3083AS,Strevelsweg,700,postnr 114,3083AS,Rotterdam,41,www.sashelvetica.nl,0.0,kantoorfunctie,18600.0,in gebruik,H,,,1989-10-31,3,0,0
24178612,000018016871,Amasia Intercontin. Trad. and Forwarding B.V.,3087BM,Waalhaven O.z.,77,5e verdiepin,3087BM,Rotterdam,41,,0.0,kantoorfunctie,5876.0,in gebruik,H,,,1989-03-11,1,0,0
24178658,000002178273,XPO Supply Chain NETHERLANDS II B.V.,5651GG,Achtseweg Noord,27,,5651GG,Eindhoven,41,www.xpo.com,0.0,industriefunctie,14435.0,in gebruik,K,H,H,2015-02-03,1,0,0
24178658,000026353423,XPO Supply Chain NETHERLANDS II B.V.,3905NN,Arsenaal,2,,3905NN,Veenendaal,41,,0.0,industriefunctie,28339.0,in gebruik,H,,,2015-02-03,1,0,0
24178658,000034210644,XPO Supply Chain NETHERLANDS II B.V.,5804CD,Ambachtstraat,38,,5804CD,Venray,41,www.xpo.com,0.0,industriefunctie,2180.0,in gebruik,H,,,2015-02-03,1,0,0
24179460,000006182852,Fairway Shipping Agencies,3161WE,Ravelstraat,5,,3161WE,Rhoon,41,www.fairwayshipping.com,0.0,kantoorfunctie,651.0,in gebruik,H,,,1989-12-27,5,0,0
24179460,000039274020,Promar Agencies (The Netherlands),3161WD,Debussystraat,2,,3161WD,Rhoon,41,,0.0,kantoorfunctie,1743.0,in gebruik,H,,,1989-12-27,5,0,0
24179835,000016754247,Share Logistics B.V.,3089JH,Waalhaven Z.z.,19,Port City II,3089JH,Rotterdam,41,,0.0,kantoorfunctie,8574.0,in gebruik,H,,,1990-05-01,6,0,1
24179956,000016568966,Customs Support Import B.V.,3165AA,Willem Barentszstraat,11,,3165AA,Rotterdam-Albrandswaard,41,,0.0,kantoorfunctie,218.0,in gebruik,H,,,1990-10-01,1,0,0
24180036,000016617371,Fabory Asia B.V.,5048AN,Zevenheuvelenweg,44,,5048AN,Tilburg,41,,0.0,industriefunctie,8306.0,in gebruik,G,H,,2006-05-04,1,0,0
24180616,000018809367,Neele-Vat Ocean,3195ND,Seattleweg,3,,3195ND,Pernis Rotterdam,41,www.neelevat.com,0.0,industriefunctie,7416.0,in gebruik,H,,,1990-12-02,5,0,0
24181021,000012856819,Trans 92 Internationale Expeditie B.V.,3209BK,Wachthoevestraat,30,'MOLENEIND',3209BK,Hekelingen,41,,0.0,industriefunctie,274.0,in gebruik,H,,,1990-05-03,4,0,0
24181520,000016216156,Verenigde Douane-Agenten,3223TL,Mozartstraat,25,,3223TL,Hellevoetsluis,41,,0.0,woonfunctie,149.0,in gebruik,H,,,1990-03-26,2,0,0
24182209,000001352903,'NOVI' Trading B.V.,3121XJ,Koekoekslaan,31,,3121XJ,Schiedam,41,www.novitrading.nl,0.0,woonfunctie,159.0,in gebruik,G,G,H,1990-01-05,3,0,0
24182264,000015862216,United Transport Tankcontainers B.V.,3087AN,Willingestraat,6,,3087AN,Rotterdam,41,www.denhartogh.com,,,,,H,,,1990-02-05,1,0,0
24182504,000007997612,R.L. Krabbendam,3708ZS,Pr Catharina Amalialaan,48,,3708ZS,Zeist,1,www.zwaartransportcursus.nl,0.0,woonfunctie,176.0,in gebruik,H,J,G,2015-08-10,2,0,0
24182825,000010457550,Scheepvaartbedrijf Sandria B.V.,3114HC,Maasboulevard,23,,3114HC,Schiedam,41,,0.0,woonfunctie,114.0,in gebruik,H,H,,1990-05-06,3,0,0
24182866,000016042131,LBH Netherlands B.V.,3161HK,Rijsdijk,13,,3161HK,Rhoon,41,,0.0,kantoorfunctie,791.0,in gebruik,H,H,,1990-07-06,6,0,0
24182866,000042466776,LBH Netherlands B.V.,1044AB,Corsicaweg,10,,1044AB,Amsterdam,41,www.lbh-group.com,0.0,kantoorfunctie,13041.0,in gebruik,H,H,,1990-07-06,6,0,0
24182866,000042466784,LBH Netherlands B.V.,4453VJ,Nassauweg,20,,4453VJ,'s-Heerenhoek,41,www.lbh-group.com,0.0,kantoorfunctie,541.0,in gebruik,H,H,,1990-07-06,6,0,0
24182902,000010509550,Groenenboom Facilities B.V.,3044CA,Amstelstraat,12,,3044CA,Rotterdam,41,,0.0,industriefunctie,752.0,in gebruik,H,H,,1990-08-06,3,0,0
24183208,000017598958,Sun Marine Traders B.V.,3012VG,William Boothlaan,11,A,3012VG,Rotterdam,41,,0.0,woonfunctie,59.0,in gebruik,H,,,1990-06-27,3,0,0
24183843,000018421717,Best & Osterrieth B.V.,3088HH,Waalhaven Z.z.,12,Z.Z.,3088HH,Rotterdam,41,,,,,,H,H,K,1990-06-08,1,0,0
24184159,000016840712,K.E. France B.V.,3016BC,Parklaan,30,,3016BC,Rotterdam,41,www.ke.nl,0.0,kantoorfunctie,835.0,in gebruik,H,,,1990-08-27,3,0,0
24184507,000018322387,Broekman Eemshaven Services B.V.,9979XJ,Westlob,8,,9979XJ,Eemshaven,41,,0.0,kantoorfunctie,155.0,in gebruik,H,H,N,1990-09-13,4,0,0
24184507,000018322433,Broekman Eemshaven Services B.V.,3089JH,Waalhaven Z.z.,21,,3089JH,Rotterdam,41,,0.0,kantoorfunctie,7436.0,in gebruik,H,,,1990-09-13,4,0,0
24184575,000019791097,"Tankceu, Tank Combination Europe",2661CV,Bergweg-zuid,102,,2661CV,Bergschenhoek,93,www.tankceu.com,0.0,industriefunctie,170.0,in gebruik,H,,,2007-12-22,3,0,0
24184750,000018929028,VTL Shipping & Forwarding B.V.,3021DM,Heemraadssingel,186,,3021DM,Rotterdam,41,,0.0,kantoorfunctie,530.0,in gebruik,H,,,1990-09-25,4,0,0
24185292,000016785002,Admiral Ship Management B.V.,3221CB,Burg van der Jagtkade,10,,3221CB,Hellevoetsluis,41,,0.0,kantoorfunctie,344.0,in gebruik,H,H,H,1990-10-25,1,0,0
24185425,000023770953,Noatum Logistics Netherlands B.V.,5928PR,Celsiusweg,52,,5928PR,Venlo,41,,0.0,kantoorfunctie,755.0,in gebruik,H,K,,2005-10-08,3,0,0
24185561,000004341422,Oportocargo International,4765BH,Driehoefijzersstraat,31,a,4765BH,Zevenbergschen Hoek,41,,0.0,woonfunctie,205.0,in gebruik,H,,,2014-02-06,3,0,0
24185591,000014610965,Translinco International,3087AG,Sluisjesdijk,155,3E ETAGE,3087AG,Rotterdam,1,,,,,,H,,,1994-08-09,3,0,0
24185896,000019089066,Cavalier Logistics,1437CG,Kruisweg,365,,1437CG,Rozenburg,41,www.cavalier.nl,0.0,woonfunctie,186.0,in gebruik,H,,,2000-01-24,5,0,0
24185997,000018381820,Van Uden Shipping B.V.,3081AB,Brielselaan,85,,3081AB,Rotterdam,41,www.vanudenshipping.com,0.0,industriefunctie,500.0,in gebruik,H,H,,1990-05-12,1,0,0
24186087,000020079680,Hartel Shipping & Chartering B.V.,3233AM,Goudhoekweg,14,,3233AM,Oostvoorne,41,hartelshipping.com,0.0,kantoorfunctie,205.0,in gebruik,H,,,1990-12-13,4,0,0
24186107,000016467132,Frachtcontor Junge B.V.,3083AS,Strevelsweg,700,/615,3083AS,Rotterdam,41,www.frachtcontor.com,0.0,kantoorfunctie,18600.0,in gebruik,H,H,,1990-12-13,4,0,0
24186231,000020250525,TOP Logistics B.V.,3208LA,Malledijk,3,35,3208LA,Spijkenisse,41,,0.0,kantoorfunctie,2320.0,in gebruik,H,,,1990-12-24,6,0,1
24186340,000020396325,Gaston Schul Customs B.V.,5928NL,Kazernestraat,10,,5928NL,Venlo,41,www.gaston-schul.com,0.0,kantoorfunctie,1464.0,in gebruik,H,,,2017-09-01,4,0,1
24186340,000036266612,Gaston Schul Customs B.V.,3088GE,Anthony Fokkerweg,85,,3088GE,Rotterdam,41,,0.0,industriefunctie,353.0,in gebruik,H,,,2017-09-01,4,0,1
24186340,000036375403,Gaston Schul Customs B.V.,4782SL,Plaza,1,e,4782SL,Moerdijk,41,www.gaston-schul.com,0.0,kantoorfunctie,332.0,in gebruik,H,,,2017-09-01,4,0,1
24186340,000036424072,Gaston Schul Customs B.V.,4389PA,Ritthemsestraat,499,Haven 1128,4389PA,Ritthem,41,www.gaston-schul.com,0.0,industriefunctie,5567.0,in gebruik,H,,,2017-09-01,4,0,1
24186340,000036701866,Gaston Schul Customs B.V.,5916RP,Europaweg,16,,5916RP,Venlo,41,www.gaston-schul.com,0.0,woonfunctie,164.0,ingetrokken,H,,,2017-09-01,4,0,1
24186340,000036701874,Gaston Schul Customs B.V.,6199AC,Horsterweg,24,,6199AC,Maastricht-Airport,41,www.gaston-schul.com,0.0,industriefunctie,13462.0,in gebruik,H,,,2017-09-01,4,0,1
24186340,000036701882,Gaston Schul Customs B.V.,6921RZ,Impact,4,,6921RZ,Duiven,41,www.gaston-schul.com,0.0,industriefunctie,6018.0,in gebruik,H,,,2017-09-01,4,0,1
24186340,000036701890,Gaston Schul Customs B.V.,7587GA,De Poppe,28,,7587GA,de Lutte,41,www.gaston-schul.com,0.0,kantoorfunctie,32.0,in gebruik,H,,,2017-09-01,4,0,1
24186340,000036701904,Gaston Schul Customs B.V.,9645LZ,Spoorhavenweg,17,,9645LZ,Veendam,41,www.gaston-schul.com,0.0,kantoorfunctie,1127.0,in gebruik,H,,,2017-09-01,4,0,1
24187225,000008803188,Mathomar Coal Chartering B.V.,3016DE,Veerkade,15,,3016DE,Rotterdam,41,,,,,,H,,,1991-07-02,3,0,0
24187228,000019429177,'Hoserco' B.V.,3161GN,Dienstenstraat,15,,3161GN,Rhoon,41,www.hoserco.nl,0.0,kantoorfunctie,1028.0,in gebruik,G,H,G,1991-07-02,4,0,0
24187233,000017624037,Columbia Shipmanagement (Netherlands) B.V.,3201EJ,D. Losstraat,17,,3201EJ,Spijkenisse,41,www.csmnld.com,0.0,kantoorfunctie,175.0,in gebruik,H,,,1991-07-02,4,0,0
24188064,000011175516,Sercon Shipping B.V.,3011KA,Goudsesingel,8,G,3011KA,Rotterdam,41,,0.0,kantoorfunctie,799.0,ingetrokken,H,,,1991-03-27,3,0,0
24188356,000019686471,Expeditie-Controlebedrijf 'Controco' B.V.,3171EB,F vd Poest Clementlaan,53,,3171EB,Poortugaal,41,,0.0,kantoorfunctie,145.0,in gebruik,H,F,L,1991-11-04,1,0,0
24188394,000019119542,CTM Ship- en Tankcleaning B.V.,3036HJ,Zaagmolenstraat,147,A,3036HJ,Rotterdam,41,www.ctm-cleaning.nl,0.0,woonfunctie,45.0,in gebruik,H,N,C,1991-04-15,3,0,0
24188490,000002484730,BAM Salute Trading,2984BA,Keurmeesterstraat,16,,2984BA,Ridderkerk,1,www.bamsalute.com,0.0,winkelfunctie,1861.0,in gebruik,H,G,G,1991-04-18,2,0,0
24188866,000003963500,Maex Company B.V.,3087AJ,Sluisjesdijk,106,H,3087AJ,Rotterdam,41,,,,,,H,N,,1991-08-05,2,0,0
24188924,000018039219,Van der Helm Forwarding,3161WD,Debussystraat,2,,3161WD,Rhoon,41,www.helmhudig.com,0.0,kantoorfunctie,1743.0,in gebruik,H,,,1991-05-13,6,0,0
24189165,000011070552,Koemar Shipping,3073GR,Dordtselaan,200,D,3073GR,Rotterdam,1,,0.0,woonfunctie,92.0,in gebruik,H,,,1991-05-28,1,0,0
24189863,000018843247,Vabix Shipping B.V.,3084CB,Driemanssteeweg,560,,3084CB,Rotterdam,41,www.vabix.nl,0.0,industriefunctie,5802.0,in gebruik,H,,,1991-04-07,3,0,0
24189864,000018139000,Vabix Expeditie B.V.,3084CB,Driemanssteeweg,560,,3084CB,Rotterdam,41,www.vabix.nl,0.0,industriefunctie,5802.0,in gebruik,H,,,1991-04-07,4,0,0
24189865,000020445474,Vabix Documents Services B.V.,3084CB,Driemanssteeweg,560,,3084CB,Rotterdam,41,,0.0,industriefunctie,5802.0,in gebruik,H,,,1991-03-07,4,0,0
24189935,000005668166,Roes Scheepvaart en Transportovername,3011KA,Goudsesingel,14,A,3011KA,Rotterdam,41,www.roesscheepvaart.nl,0.0,kantoorfunctie,249.0,ingetrokken,H,,,1991-08-07,3,1,0
24190535,000019075626,Estero Shipping & Trading Rotterdam B.V.,2908LH,Lylantse Plein,1,Kamer 226/22,2908LH,Capelle aan den IJssel,41,www.estero-shipping.nl,0.0,kantoorfunctie,5111.0,in gebruik,H,,,1991-08-13,2,0,0
24190544,000020382545,Cargo Bridge B.V.,3194DE,Klompenmakerstraat,2,,3194DE,Hoogvliet Rotterdam,41,www.cargobridge.nl,0.0,industriefunctie,102.0,in gebruik,H,,,1991-12-08,4,0,0
24191760,000016439430,TCI Carriers B.V.,3051BP,Villapark,7,,3051BP,Rotterdam,41,,0.0,kantoorfunctie,425.0,in gebruik,H,,,1991-10-16,3,0,0
24191822,000018453678,B & K Havenservice Inc.,3074JB,Putselaan,34,,3074JB,Rotterdam,96,www.bkhavenservice.nl,0.0,industriefunctie,133.0,in gebruik,H,N,,1991-10-18,6,0,0
24192981,000016495241,Vopak China B.V.,3016CK,Westerlaan,10,,3016CK,Rotterdam,41,,0.0,kantoorfunctie,7192.0,in gebruik,H,,,1991-12-19,1,0,0
24193290,000016486226,Sea-Serve Rotterdam,3161GR,Oever,5,,3161GR,Rhoon,41,,0.0,kantoorfunctie,714.0,in gebruik,H,N,,1992-02-01,12,0,0
24193870,000018683185,A.E. Services en Heavy Transport B.V.,3121XB,Fazantlaan,35,,3121XB,Schiedam,41,,,,,,H,,,1992-01-23,2,0,0
24194272,000009435883,P.V. Holding B.V.,2661CP,Bergweg-noord,20,,2661CP,Bergschenhoek,41,,0.0,woonfunctie,210.0,in gebruik,K,H,,2007-12-22,3,0,0
24194489,000020368739,Millennium Ship B.V.,2901LB,Rhijnspoor,253,,2901LB,Capelle aan den IJssel,41,,0.0,kantoorfunctie,161.0,in gebruik,H,K,H,1998-09-10,3,0,0
24194505,000019062583,Broekman Shipping,3089JH,Waalhaven Z.z.,21,,3089JH,Rotterdam,41,,0.0,kantoorfunctie,7436.0,in gebruik,K,H,,1992-02-21,6,0,0
24194517,000002757060,Cornelder's Scheepv. Mij. Rotterdam B.V.,3016CL,Westerkade,7,G,3016CL,Rotterdam,41,,,,,,H,,,1992-02-18,1,0,0
24194594,000007890648,G.J. Rietveld Contr. & Expeditiebedrijf B.V.,3197LG,Shannonweg,15,,3197LG,Botlek Rotterdam,41,,0.0,kantoorfunctie,992.0,in gebruik,H,H,G,1992-02-25,2,0,0
24194636,000015421473,Waterfront Marine,3125AE,De Brauwweg,62,5E ETAGE,3125AE,Schiedam,41,,0.0,kantoorfunctie,989.0,in gebruik,H,,,1992-02-28,3,0,0
24195082,000016357876,Gaston Schul VAT B.V.,5928NL,Kazernestraat,10,,5928NL,Venlo,41,www.gaston-schul.com,0.0,kantoorfunctie,1464.0,in gebruik,K,H,,2017-09-01,2,0,0
24195259,000015873749,Trans Ocean Pacific Forwarding B.V.,3088HD,Van Riemsdijkweg,78,,3088HD,Rotterdam,41,www.top.nl,0.0,kantoorfunctie,7911.0,in gebruik,H,,,1992-03-24,4,0,1
24195339,000019777795,Chembox B.V.,3088HJ,Waalhaven Z.z.,48,,3088HJ,Rotterdam,41,,0.0,kantoorfunctie,672.0,in gebruik,H,,,1992-03-30,3,0,0
24195580,000017315891,Allround Transport Bemiddeling B.V.,3194DJ,Kaasmakerstraat,10,,3194DJ,Hoogvliet Rotterdam,41,www.allround-transport.com,0.0,overige gebruiksfunctie,265.0,ingetrokken,H,,,1992-08-04,5,0,0
24195751,000018475299,Serromah Shipping B.V.,3067GJ,Hoofdweg,236,,3067GJ,Rotterdam,41,www.serromahshipping.com,0.0,industriefunctie,72.0,ingetrokken,H,G,,1992-04-16,5,0,0
24195766,000016473213,Greving Europa B.V.,2992XC,1e Barendrechtseweg,54,,2992XC,Barendrecht,41,www.greving-europa.nl,0.0,kantoorfunctie,160.0,in gebruik,H,,,1992-04-16,4,0,0
24195840,000019829779,Floating Storage Company B.V.,1013BL,Coenhavenweg,22,Westpoort nr,1013BL,Amsterdam,41,,0.0,industriefunctie,20070.0,in gebruik,H,A,,2018-01-25,3,0,0
24195905,000010068899,Waterfront Marine Shipping & Trading W.M.S.T.,3125AE,De Brauwweg,62,5E ETAGE,3125AE,Schiedam,1,,0.0,kantoorfunctie,989.0,in gebruik,H,G,,1992-04-24,2,0,0
24196023,000010625372,LA.AN B.V.,3232HE,Krammer,8,,3232HE,Brielle,41,,0.0,kantoorfunctie,2683.0,in gebruik,H,H,,1992-04-05,2,0,0
24196116,000018131905,Waterfront Shipping B.V.,2992SR,Augustapolder,74,,2992SR,Barendrecht,41,,0.0,kantoorfunctie,342.0,in gebruik,H,H,,2014-05-15,3,0,0
24197027,000007306091,Optimodal Nederland B.V.,3194AR,Oudelandseweg,33,,3194AR,Hoogvliet Rotterdam,41,www.optimodal.nl,,,,,H,,,1992-06-29,5,0,0
24197158,000018619932,MCS International Marine Services B.V.,2992LB,Bijdorpplein,41,,2992LB,Barendrecht,41,www.mcsi.nl,0.0,kantoorfunctie,332.0,in gebruik,H,,,1992-03-07,3,0,0
24197430,000020142447,Sinepol Shipping and Agency B.V.,3083AS,Strevelsweg,700,postnr 113,3083AS,Rotterdam,41,www.sinepol.nl,0.0,kantoorfunctie,18600.0,in gebruik,H,,,1992-07-16,3,0,0
24197478,000003197999,Login Consultancy,5171GB,Doctor van Beurdenstraat,12,,5171GB,Kaatsheuvel,1,,0.0,woonfunctie,233.0,in gebruik,H,,,2000-11-12,2,0,0
24197791,000019462921,Frankenbach B.V.,3088HJ,Waalhaven Z.z.,48,,3088HJ,Rotterdam,41,www.frankenbach.com,0.0,kantoorfunctie,672.0,in gebruik,H,,,1992-04-08,3,0,0
24197851,000019599900,Burger Feeder Services B.V.,3176PD,Hofhoek,20,,3176PD,Poortugaal,41,www.royalburgergroup.com,0.0,kantoorfunctie,4722.0,in gebruik,H,,,1992-10-08,1,0,0
24198087,000019785313,RVB Shipbrokers B.V.,3072AP,Wilhelminakade,83,,3072AP,Rotterdam,41,www.rvbshipbrokers.nl,0.0,kantoorfunctie,625.0,in gebruik,H,,,1992-08-25,4,0,0
